"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2020","     7206.20","     7208.25","     6991.60","     7026.70","       31879062","         1607.57"
"03-Apr-2020","     7019.85","     7452.80","     6956.20","     7361.60","       90108092","         4138.97"
"07-Apr-2020","     7729.25","     8159.75","     7569.85","     8124.85","      103930843","         5599.35"
"08-Apr-2020","     8122.90","     8564.85","     8056.30","     8412.20","      127307172","         6510.05"
"09-Apr-2020","     8739.50","     9032.40","     8706.40","     8800.45","      121942870","         7153.61"
"13-Apr-2020","     9000.25","     9229.60","     8852.00","     9044.35","      121649029","         6765.95"
"15-Apr-2020","     9265.40","     9382.15","     8889.20","     9038.80","      115258180","         6304.72"
"16-Apr-2020","     9040.90","     9251.05","     8989.80","     9199.30","       74190433","         4366.24"
"17-Apr-2020","     9429.50","     9454.10","     9066.10","     9157.75","       70421787","         4268.05"
"20-Apr-2020","     9176.70","     9212.55","     9004.75","     9149.20","       61908115","         3562.63"
"21-Apr-2020","     9031.85","     9561.35","     8999.95","     9381.65","      125520844","         7811.67"
"22-Apr-2020","     9369.40","     9513.00","     9305.75","     9377.00","       79245371","         5047.75"
"23-Apr-2020","     9400.15","     9580.85","     9358.35","     9388.90","       75985091","         4231.63"
"24-Apr-2020","     9358.40","     9638.70","     9305.60","     9518.45","      104409591","         6146.00"
"27-Apr-2020","     9590.50","     9753.50","     9557.40","     9602.05","       75788241","         4627.42"
"28-Apr-2020","     9699.25","     9701.00","     9352.00","     9386.20","       51486443","         3152.36"
"29-Apr-2020","     9453.30","     9498.15","     9339.75","     9385.45","       47209223","         2863.35"
"30-Apr-2020","     9522.55","     9556.50","     9253.90","     9327.10","       68640854","         4457.98"
"04-May-2020","     9181.60","     9507.45","     9140.15","     9364.60","       87107464","         5241.59"
"05-May-2020","     9493.70","     9503.75","     9157.35","     9181.50","       52022881","         3028.66"
"06-May-2020","     9229.85","     9289.90","     9128.05","     9227.15","       50166933","         3106.34"
"07-May-2020","     9283.20","     9373.55","     9128.95","     9148.10","       42005200","         2511.44"
"08-May-2020","     9275.90","     9385.60","     9230.35","     9343.35","       44253004","         3032.56"
"11-May-2020","     9413.25","     9416.50","     9281.70","     9307.30","       47289876","         2996.47"
"12-May-2020","     9291.10","     9368.05","     9142.80","     9246.65","       54851247","         3611.59"
"13-May-2020","     9447.95","     9447.95","     9131.15","     9147.75","       46759973","         2804.02"
"14-May-2020","     9146.10","     9279.65","     9103.80","     9172.20","       60236390","         3280.64"
"15-May-2020","     9177.35","     9211.00","     9065.65","     9093.00","       70644388","         3561.69"
"18-May-2020","     9097.60","     9201.45","     8999.85","     9092.65","       61511159","         3616.69"
"19-May-2020","     9149.45","     9231.50","     9044.05","     9084.60","       45405467","         2701.00"
"20-May-2020","     9098.70","     9495.50","     9074.60","     9456.80","       54446440","         4519.52"
"21-May-2020","     9475.20","     9549.40","     9436.05","     9520.55","       56821496","         3557.41"
"22-May-2020","     9502.30","     9619.60","     9427.20","     9600.65","       49964360","         3078.36"
"26-May-2020","     9624.30","     9679.85","     9454.75","     9483.50","       48678400","         2978.55"
"27-May-2020","     9528.75","     9537.80","     9416.80","     9463.70","       43880429","         2717.34"
