"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"17-Jun-2020","    14418.80","    14559.55","    14382.95","    14478.45","       36461423","         2103.24"
"18-Jun-2020","    14478.65","    14623.95","    14443.00","    14551.25","       23438227","         1492.76"
"19-Jun-2020","    14532.70","    14625.80","    14422.45","    14499.80","       58724892","         4170.45"
"22-Jun-2020","    14537.80","    14550.35","    14432.45","    14463.65","       27930417","         1934.37"
"23-Jun-2020","    14398.45","    14725.40","    14320.70","    14680.40","       45654691","         3020.83"
"24-Jun-2020","    14675.70","    14761.20","    14547.20","    14581.45","       36295639","         2333.26"
"25-Jun-2020","    14486.40","    14590.50","    14383.60","    14411.20","       36328156","         2531.24"
"26-Jun-2020","    14496.70","    15086.00","    14476.45","    14994.65","       70776175","         5254.07"
"29-Jun-2020","    14874.20","    14979.20","    14737.45","    14768.00","       28115701","         2147.16"
"30-Jun-2020","    14812.70","    14854.40","    14692.45","    14754.30","       25878721","         2039.72"
"01-Jul-2020","    14767.35","    14842.85","    14704.50","    14732.10","       19829830","         1564.90"
"02-Jul-2020","    14803.50","    15195.20","    14782.45","    15122.55","       41173275","         3146.05"
"03-Jul-2020","    15164.25","    15336.85","    15148.50","    15285.90","       27211456","         2327.43"
"06-Jul-2020","    15351.70","    15580.50","    15351.70","    15464.95","       31946250","         2782.25"
"07-Jul-2020","    15528.05","    15806.85","    15440.10","    15784.95","       51583702","         4486.42"
"08-Jul-2020","    15765.00","    15765.05","    15473.50","    15513.65","       28423066","         2211.59"
"09-Jul-2020","    15572.35","    15663.45","    15468.40","    15535.95","       26614822","         2229.82"
"10-Jul-2020","    15471.70","    15656.05","    15417.50","    15565.20","       27603484","         3274.04"
"13-Jul-2020","    15643.10","    15885.55","    15624.80","    15819.20","       44758097","         3124.51"
"14-Jul-2020","    15779.50","    15941.65","    15611.85","    15640.55","       42035185","         2928.32"
"15-Jul-2020","    15853.80","    16624.65","    15830.50","    16459.80","      193789507","         9354.32"
"16-Jul-2020","    16971.25","    17491.15","    16715.75","    16926.05","      190528467","        14568.34"
"17-Jul-2020","    16936.95","    16975.20","    16693.35","    16821.35","       88190381","         6649.48"
"20-Jul-2020","    16880.35","    17376.15","    16849.15","    17258.30","       61171408","         4374.91"
"21-Jul-2020","    17453.35","    17514.05","    17219.70","    17273.20","       63696830","         3872.17"
