Date,Open,High,Low,Close,Adj Close
2020-06-29,63.689999,64.230003,59.950001,60.040001,60.040001
2020-06-30,60.040001,61.16,52.330002,57.66,57.66
2020-07-01,57.66,57.66,53.330002,53.43,53.43
2020-07-02,53.43,53.43,46.619999,51.290001,51.290001
2020-07-06,51.290001,54.080002,49.639999,50.73,50.73
2020-07-07,50.73,51.91,50.040001,51.389999,51.389999
2020-07-08,51.389999,51.389999,48.299999,48.849998,48.849998
2020-07-09,48.849998,54.330002,48.849998,53.77,53.77
2020-07-10,53.77,55.59,48.619999,49.709999,49.709999
2020-07-13,50.68,54.970001,49.459999,53.41,53.41
2020-07-14,53.41,55.490002,51.27,53.040001,53.040001
2020-07-15,53.040001,53.040001,46.099998,47.049999,47.049999
2020-07-16,47.049999,51.040001,45.09,46.119999,46.119999
2020-07-17,46.119999,46.119999,38.669998,40.220001,40.220001
2020-07-20,40.220001,42.700001,39.529999,42.59,42.59
2020-07-21,42.59,42.59,38.599998,41.099998,41.099998
2020-07-22,41.099998,44.240002,39.869999,41.299999,41.299999
2020-07-23,41.299999,44.189999,40.099998,43.830002,43.830002
2020-07-24,43.830002,44.75,42.029999,42.349998,42.349998
2020-07-27,42.349998,43.330002,41.200001,41.369999,41.369999
2020-07-28,41.369999,41.959999,40.130001,41.09,41.09
2020-07-29,41.09,44.799999,36.580002,39.580002,39.580002
2020-07-30,40.439999,43.310001,39.990002,42.060001,42.060001
2020-07-31,42.080002,45.360001,40.310001,44.43,44.43
2020-08-03,44.43,44.43,39.169998,41.560001,41.560001
2020-08-04,41.560001,43.18,39.889999,40.279999,40.279999
2020-08-05,40.099998,40.5,37,37.119999,37.119999
2020-08-06,37.119999,38.389999,36.93,37.59,37.59
2020-08-07,37.59,39.509998,35.439999,37.43,37.43
2020-08-10,39.060001,39.25,35.740002,35.740002,35.740002
2020-08-11,35.740002,37.84,33.77,37.5,37.5
2020-08-12,37.5,37.5,31.76,34.740002,34.740002
2020-08-13,34.740002,34.93,32.259998,34.869999,34.869999
2020-08-14,34.869999,35.299999,33.119999,35.099998,35.099998
2020-08-17,35.099998,40.779999,32.18,32.43,32.43
2020-08-18,32.43,36.799999,30.530001,31.700001,31.700001
2020-08-19,31.700001,33.16,30.26,32.849998,32.849998
2020-08-20,32.849998,36.290001,32.43,32.830002,32.830002
2020-08-21,32.830002,35.02,32.259998,33.68,33.68
2020-08-24,33.68,33.790001,32.169998,32.25,32.25
2020-08-25,32.25,33.240002,31.309999,33.029999,33.029999
2020-08-26,32.810001,33.790001,31.66,33.790001,33.790001
2020-08-27,33.790001,34.450001,31.870001,33.740002,33.740002
2020-08-28,32.060001,33.459999,31.35,32.060001,32.060001
2020-08-31,32.060001,32.849998,31.58,32.59,32.59
2020-09-01,32.59,34.23,31.25,31.74,31.74
2020-09-02,31.74,36.970001,31.059999,35.490002,35.490002
2020-09-03,35.490002,42.630001,34.169998,41.279999,41.279999
2020-09-04,36.049999,45.189999,36.049999,44.02,44.02
2020-09-08,44.02,59.25,44.02,55.900002,55.900002
2020-09-09,55.900002,55.900002,48.509998,49.419998,49.419998
2020-09-10,46.73,52.16,45.380001,52.16,52.16
2020-09-11,52.16,52.200001,45.540001,50.130001,50.130001
2020-09-14,50.130001,50.439999,48.130001,49.41,49.41
2020-09-15,45.130001,46.919998,44.970001,45.189999,45.189999
2020-09-16,45.189999,45.189999,40.799999,41.130001,41.130001
2020-09-17,41.130001,41.439999,36.689999,38.73,38.73
2020-09-18,38.73,39.549999,36.349998,39.07,39.07
2020-09-21,39.07,44.75,39.07,42.889999,42.889999
2020-09-22,38.75,42.630001,38.669998,41.279999,41.279999
2020-09-23,38.060001,44.700001,38.060001,44.639999,44.639999
2020-09-24,44.639999,44.639999,39.119999,42.880001,42.880001
2020-09-25,38.650002,41.98,38.650002,41.41,41.41
2020-09-28,40.470001,41.98,40.150002,40.639999,40.639999
2020-09-29,40.630001,49.82,38.259998,46.130001,46.130001
2020-09-30,46.130001,46.130001,42.349998,44,44
2020-10-01,44,52.73,43.07,49.349998,49.349998
2020-10-02,55.34,56.189999,50.419998,55.509998,55.509998
2020-10-05,55.509998,55.509998,48.970001,49.439999,49.439999
2020-10-06,49.439999,49.439999,44.639999,46.599998,46.599998
2020-10-07,45.849998,47.259998,45.459999,45.5,45.5
2020-10-08,45.5,45.5,38.630001,41.150002,41.150002
2020-10-09,41.150002,42.549999,40.57,42.380001,42.380001
2020-10-12,42.380001,45.560001,41.689999,44.040001,44.040001
2020-10-13,44.040001,46.970001,42.549999,46.07,46.07
2020-10-14,46.07,46.07,41.709999,43.529999,43.529999
2020-10-15,45.59,46.02,43.389999,43.830002,43.830002
2020-10-16,44.84,48.790001,43.220001,44.060001,44.060001
