"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"03-Apr-2020","       60.0525","       60.5900","       54.9000","       55.3025","       60.0525","       -4.7500","  -7.91"
"07-Apr-2020","       55.3025","       55.3025","       49.9425","       51.8000","       55.3025","       -3.5000","  -6.33"
"08-Apr-2020","       51.8000","       53.7325","       46.9750","       52.2425","       51.8000","        0.4400","   0.85"
"09-Apr-2020","       52.2425","       52.2425","       46.9025","       49.7450","       52.2425","       -2.5000","  -4.78"
"13-Apr-2020","       49.7450","       52.4925","       43.6350","       51.4575","       49.7450","        1.7100","   3.44"
"15-Apr-2020","       51.4575","       51.4575","       44.6475","       49.7350","       51.4575","       -1.7200","  -3.35"
"16-Apr-2020","       49.7350","       49.7350","       42.2550","       46.0950","       49.7350","       -3.6400","  -7.32"
"17-Apr-2020","       46.0950","       46.0950","       40.3050","       42.5925","       46.0950","       -3.5000","  -7.60"
"20-Apr-2020","       42.5925","       44.0375","       40.2950","       43.4550","       42.5925","        0.8600","   2.03"
"21-Apr-2020","       43.4550","       45.9625","       36.2150","       45.1975","       43.4550","        1.7400","   4.01"
"22-Apr-2020","       45.1975","       45.4250","       40.4650","       42.8225","       45.1975","       -2.3800","  -5.25"
"23-Apr-2020","       42.8225","       42.8225","       36.9975","       39.2300","       42.8225","       -3.5900","  -8.39"
"24-Apr-2020","       39.2300","       39.9475","       34.9825","       39.1175","       39.2300","       -0.1100","  -0.29"
"27-Apr-2020","       39.1175","       40.1675","       35.2125","       38.0425","       39.1175","       -1.0800","  -2.75"
"28-Apr-2020","       38.0425","       41.9125","       35.0675","       35.3550","       38.0425","       -2.6900","  -7.06"
"29-Apr-2020","       35.3550","       35.3550","       31.4825","       33.8375","       35.3550","       -1.5200","  -4.29"
"30-Apr-2020","       33.8375","       34.2525","       32.5350","       33.9875","       33.8375","        0.1500","   0.44"
"04-May-2020","       33.9875","       43.9200","       33.9875","       43.6700","       33.9875","        9.6800","  28.49"
"05-May-2020","       43.6700","       43.8650","       38.1475","       43.6075","       43.6700","       -0.0600","  -0.14"
"06-May-2020","       43.6075","       43.6300","       40.1975","       41.2475","       43.6075","       -2.3600","  -5.41"
"07-May-2020","       41.2475","       41.7150","       39.6575","       39.9300","       41.2475","       -1.3200","  -3.19"
"08-May-2020","       39.9300","       39.9300","       36.5475","       38.4075","       39.9300","       -1.5200","  -3.81"
"11-May-2020","       38.4075","       38.4950","       36.9475","       38.0375","       38.4075","       -0.3700","  -0.96"
"12-May-2020","       38.0375","       38.8125","       35.2450","       38.2050","       38.0375","        0.1700","   0.44"
"13-May-2020","       38.2050","       39.0475","       33.4400","       38.8350","       38.2050","        0.6300","   1.65"
"14-May-2020","       38.8350","       38.8350","       35.7950","       38.1825","       38.8350","       -0.6500","  -1.68"
"15-May-2020","       38.1825","       38.4600","       34.0550","       38.0175","       38.1825","       -0.1700","  -0.43"
"18-May-2020","       38.0175","       41.2450","       27.9350","       40.9150","       38.0175","        2.9000","   7.62"
"19-May-2020","       40.9150","       40.9150","       37.9525","       39.4525","       40.9150","       -1.4600","  -3.57"
"20-May-2020","       39.4525","       39.4525","       34.0950","       35.8100","       39.4525","       -3.6400","  -9.23"
"21-May-2020","       35.8100","       35.8100","       32.5750","       32.9850","       35.8100","       -2.8300","  -7.89"
"22-May-2020","       32.9850","       34.3600","       26.3350","       32.3775","       32.9850","       -0.6100","  -1.84"
"26-May-2020","       32.3775","       33.2100","       30.9725","       31.4700","       32.3775","       -0.9100","  -2.80"
"27-May-2020","       31.4700","       32.0150","       28.8550","       31.2725","       31.4700","       -0.2000","  -0.63"
"28-May-2020","       31.2725","       31.2725","       29.1950","       30.0175","       31.2725","       -1.2600","  -4.01"
"29-May-2020","       30.0175","       30.5675","       27.4100","       30.2200","       30.0175","        0.2000","   0.67"
"01-Jun-2020","       30.2200","       32.1725","       28.8325","       30.7425","       30.2200","        0.5200","   1.73"
"02-Jun-2020","       30.7425","       30.9175","       27.9025","       30.1150","       30.7425","       -0.6300","  -2.04"
"03-Jun-2020","       30.1150","       30.4025","       29.3350","       30.0425","       30.1150","       -0.0700","  -0.24"
"04-Jun-2020","       30.0425","       30.2650","       28.4500","       29.6900","       30.0425","       -0.3500","  -1.17"
"05-Jun-2020","       29.6900","       29.6900","       25.9200","       28.6800","       29.6900","       -1.0100","  -3.40"
"08-Jun-2020","       28.6800","       30.1450","       27.7975","       29.6475","       28.6800","        0.9700","   3.37"
"09-Jun-2020","       29.6475","       30.3400","       27.2400","       30.2050","       29.6475","        0.5600","   1.88"
"10-Jun-2020","       30.2050","       30.2050","       28.7275","       29.4375","       30.2050","       -0.7700","  -2.54"
"11-Jun-2020","       29.4375","       30.4200","       28.3900","       29.6600","       29.4375","        0.2200","   0.76"
"12-Jun-2020","       29.6600","       32.8750","       29.6600","       30.8225","       29.6600","        1.1600","   3.92"
"15-Jun-2020","       30.8225","       33.7775","       29.9150","       32.5775","       30.8225","        1.7600","   5.69"
"16-Jun-2020","       32.5775","       35.3125","       30.4075","       32.9650","       32.5775","        0.3900","   1.19"
"17-Jun-2020","       32.9650","       34.0175","       29.0500","       33.3550","       32.9650","        0.3900","   1.18"
"18-Jun-2020","       33.3550","       33.4225","       31.2175","       31.4550","       33.3550","       -1.9000","  -5.70"
"19-Jun-2020","       31.4550","       31.9125","       29.6775","       29.9650","       31.4550","       -1.4900","  -4.74"
"22-Jun-2020","       29.9650","       30.9825","       29.9650","       30.4600","       29.9650","        0.5000","   1.65"
"23-Jun-2020","       30.4600","       31.1475","       29.2425","       29.3400","       30.4600","       -1.1200","  -3.68"
"24-Jun-2020","       29.3400","       30.5300","       27.7900","       29.5775","       29.3400","        0.2400","   0.81"
"25-Jun-2020","       29.5775","       31.2850","       29.0575","       29.7275","       29.5775","        0.1500","   0.51"
"26-Jun-2020","       29.7275","       30.0650","       28.3150","       28.7350","       29.7275","       -0.9900","  -3.34"
